cell_q,cell_r,la50,laeq,lden,mean_pleasantness,measure_count,first_measure_ISO_8601,first_measure_epoch,last_measure_ISO_8601,last_measure_epoch,leq_profile
-96930,286656,96.737686,102.13480322485415,0.0,75.0,23,2024-12-06 18:02:39+00:00,1733508159000,2024-12-06 18:04:22+00:00,1733508262000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 102.09999999999999, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96725,286380,91.48695,94.82148910807125,0.0,,0,2023-04-14 05:29:51+00:00,1681450191000,2023-04-14 05:29:55+00:00,1681450195000,"[ null, null, null, null, null, null, null, 94.799999999999997, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96543,286543,64.48679,64.53284000114786,0.0,0.0,15,2025-01-19 08:35:10+00:00,1737275710000,2025-01-19 08:35:24+00:00,1737275724000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 64.5, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96340,285848,33.222164871455384,55.651559061725166,0.0,,27,2022-10-16 15:49:05+00:00,1665935345000,2022-10-16 15:49:32+00:00,1665935372000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 55.700000000000003, null, null, null, null, null, null ]"
-96304,285725,103.16193450113519,103.16193450113519,0.0,,2,2024-07-07 19:55:09+00:00,1720382109000,2024-07-07 19:55:10+00:00,1720382110000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 103.2, null, null ]"
-96303,285723,33.21648842783313,97.81753081621659,0.0,,8,2024-07-07 19:44:32+00:00,1720381472000,2024-07-07 19:55:01+00:00,1720382101000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 97.799999999999997, null, null ]"
-96303,285724,31.931274,99.83539910891082,0.0,,17,2024-07-07 19:50:31+00:00,1720381831000,2024-07-07 19:57:10+00:00,1720382230000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 99.799999999999997, null, null ]"
-96196,285644,60.391544,63.011250831766965,0.0,,169,2024-12-21 11:16:07+00:00,1734779767000,2024-12-21 11:32:54+00:00,1734780774000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 63.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96196,285645,64.89662,66.41519335904385,0.0,25.0,15,2024-12-12 11:30:05+00:00,1734003005000,2024-12-12 11:30:19+00:00,1734003019000,"[ null, null, null, null, null, null, null, null, null, null, null, null, 66.400000000000006, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96195,285644,58.46157,60.574923971595986,0.0,25.0,5,2024-12-12 11:30:02+00:00,1734003002000,2024-12-21 11:32:58+00:00,1734780778000,"[ null, null, null, null, null, null, null, null, null, null, null, null, 64.5, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 58.600000000000001, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96195,285645,67.12534,72.16298267964233,0.0,25.0,61,2024-12-12 11:30:03+00:00,1734003003000,2024-12-12 11:31:18+00:00,1734003078000,"[ null, null, null, null, null, null, null, null, null, null, null, null, 72.200000000000003, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96186,285794,41.957148270410975,41.97391571946475,0.0,,6,2023-12-30 17:46:36+00:00,1703958396000,2023-12-30 17:46:55+00:00,1703958415000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 42.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96186,285795,42.42553,59.68435250687013,0.0,,11,2023-12-30 17:46:56+00:00,1703958416000,2023-12-30 17:47:06+00:00,1703958426000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 59.700000000000003, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96185,285793,42.28156670325224,42.34218732199301,0.0,,10,2023-12-30 17:46:40+00:00,1703958400000,2023-12-30 17:46:49+00:00,1703958409000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 42.299999999999997, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96181,285716,71.249664,71.249664,0.0,0.0,1,2024-07-03 08:40:18+00:00,1719996018000,2024-07-03 08:40:18+00:00,1719996018000,"[ null, null, null, null, null, null, null, null, null, null, 71.200000000000003, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96181,285717,70.74009529040345,71.02774151697923,0.0,0.0,12,2024-07-03 08:40:19+00:00,1719996019000,2024-07-20 19:29:57+00:00,1721503797000,"[ null, null, null, null, null, null, null, null, null, null, 71.299999999999997, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 66.200000000000003, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96181,285718,70.5226,70.60759117640802,0.0,0.0,5,2024-07-03 08:40:29+00:00,1719996029000,2024-07-03 08:40:33+00:00,1719996033000,"[ null, null, null, null, null, null, null, null, null, null, 70.599999999999994, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96175,285547,91.142136,93.92141688285632,0.0,0.0,71,2022-04-11 11:04:01+00:00,1649675041000,2024-09-10 07:46:13+00:00,1725954373000,"[ null, null, null, null, null, null, null, null, null, 95.400000000000006, null, null, null, 89.099999999999994, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96174,285546,89.59666136425285,89.64082067392296,0.0,0.0,34,2022-04-11 11:04:00+00:00,1649675040000,2022-04-11 13:50:42+00:00,1649685042000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, 89.099999999999994, null, 91.700000000000003, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96174,285547,91.7567,91.67665343490131,0.0,0.0,85,2022-04-11 11:04:25+00:00,1649675065000,2022-06-09 11:12:40+00:00,1654773160000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, 91.5, null, 92.200000000000003, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-96012,285948,63.72129,89.89374021484672,0.0,,35,2024-05-30 17:49:05+00:00,1717091345000,2024-05-30 17:49:39+00:00,1717091379000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 89.900000000000006, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-95956,286167,44.799835,44.74713767350829,0.0,,3,2024-08-03 19:16:35+00:00,1722712595000,2024-08-03 19:16:37+00:00,1722712597000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 44.700000000000003, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-95955,286167,44.864398002591635,47.21728770617979,0.0,,34,2024-08-03 19:16:20+00:00,1722712580000,2024-08-03 19:16:56+00:00,1722712616000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 47.200000000000003, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-95954,286165,49.07358273836359,51.01241923103324,0.0,,132,2024-08-03 19:21:58+00:00,1722712918000,2024-08-03 19:24:09+00:00,1722713049000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 51.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-95954,286166,53.68395564212705,53.499471226010165,0.0,,162,2024-08-03 19:16:57+00:00,1722712617000,2024-08-03 19:21:02+00:00,1722712862000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 53.5, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
-95953,286165,45.199738,46.70111136709632,0.0,,7,2024-08-03 19:17:35+00:00,1722712655000,2024-08-03 19:17:41+00:00,1722712661000,"[ null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 46.700000000000003, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null ]"
